statename,year,outcome,Y,lagY,control_2008,control_2009,phase,last_f,last_p,app1,win1,app2,win2,app3,win3,lose_p1,lose_p2,lose,win,control,pr,npr,all,outcomeid,wint,loset,pctscoreA,pctscoreA1,pctscoreA1i,pctscoreA1ii,pctscoreA1iii,pctscoreA2,pctscoreA2i,pctscoreA2ii,pctscoreA3,pctscoreA3i,pctscoreA3ii,pctscoreB,pctscoreB1,pctscoreB1i,pctscoreB1ii,pctscoreB2,pctscoreB2i,pctscoreB2ii,pctscoreB3,pctscoreC,pctscoreC1,pctscoreC2,pctscoreC3,pctscoreC3i,pctscoreC3ii,pctscoreC3iii,pctscoreD,pctscoreD1,pctscoreD1i,pctscoreD1ii,pctscoreD1iii,pctscoreD2,pctscoreD2i,pctscoreD2ii,pctscoreD2iii,pctscoreD2iv,pctscoreD3,pctscoreD3i,pctscoreD3ii,pctscoreD4,pctscoreD4i,pctscoreD4ii,pctscoreD5,pctscoreD5i,pctscoreD5ii,pctscoreE,pctscoreE1,pctscoreE2,pctscoreE2i,pctscoreE2ii,pctscoreF,pctscoreF1,pctscoreF1i,pctscoreF1ii,pctscoreF2,pctscoreF2i,pctscoreF2ii,pctscoreF2iii,pctscoreF2iv,pctscoreF2v,pctscoreF3,pctscoreSTEM,pctscoreTotal,pctscoreTotale,treat1,treat,treat3,section_score,control_mean
"AL",2012,"standardsadopt",1,1,0,0,"Round 2 - 2010",1,0,1,0,1,0,0,0,1,1,1,0,,1,,1,20,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,21,.3333333
"AL",2012,"data1",1,1,1,1,"Round 2 - 2010",1,1,1,0,1,0,0,0,1,1,1,0,,,1,1,3,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,83.33334,.3333333
"AL",2012,"common_assessments",1,1,0,0,"Round 2 - 2010",1,1,1,0,1,0,0,0,1,1,1,0,,,1,1,2,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,92,.3333333
"AL",2012,"measuregrowth",0,0,0,0,"Round 2 - 2010",1,0,1,0,1,0,0,0,1,1,1,0,,,1,1,16,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,52,.3333333
"AL",2012,"innovativeschoolsauth",0,0,0,0,"Round 2 - 2010",0,0,1,0,1,0,0,0,1,1,1,0,,,1,1,12,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,0,.3333333
"AL",2012,"evalsystem2",0,0,0,0,"Round 2 - 2010",1,0,1,0,1,0,0,0,1,1,1,0,,,1,1,11,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,30.66667,.3333333
"AL",2012,"annualevals",1,1,0,0,"Round 2 - 2010",1,0,1,0,1,0,0,0,1,1,1,0,,1,,1,1,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,22,.3333333
"AL",2012,"standards_consortium",1,1,0,1,"Round 2 - 2010",1,1,1,0,1,0,0,0,1,1,1,0,,,1,1,19,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,100,.3333333
"AL",2012,"innovativeschoolsnumber",0,0,0,0,"Round 2 - 2010",0,0,1,0,1,0,0,0,1,1,1,0,,1,,1,14,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,0,.3333333
"AL",2012,"data8",1,1,1,1,"Round 2 - 2010",1,1,1,0,1,0,0,0,1,1,1,0,,,1,1,4,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,83.33334,.3333333
"AL",2013,"data1",1,1,1,1,"Round 2 - 2010",1,1,1,0,1,0,0,0,1,1,1,0,,,1,1,3,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,83.33334,.6666667
"AL",2013,"evalsystem1",0,0,0,0,"Round 2 - 2010",1,0,1,0,1,0,0,0,1,1,1,0,,,1,1,10,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,30.66667,.6666667
"AL",2013,"measuregrowth",0,0,0,0,"Round 2 - 2010",1,0,1,0,1,0,0,0,1,1,1,0,,,1,1,16,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,52,.6666667
"AL",2013,"innovativeschoolsauth",0,0,0,0,"Round 2 - 2010",0,0,1,0,1,0,0,0,1,1,1,0,,,1,1,12,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,0,.6666667
"AL",2013,"evalstenure",0,0,0,0,"Round 2 - 2010",0,0,1,0,1,0,0,0,1,1,1,0,,,1,1,9,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,13.57143,.6666667
"AL",2013,"lowachieve_intervene",1,0,0,0,"Round 2 - 2010",1,1,1,0,1,0,0,0,1,1,1,0,,,1,1,15,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,100,.6666667
"AL",2013,"evalsprofdev",0,0,0,0,"Round 2 - 2010",0,0,1,0,1,0,0,0,1,1,1,0,,,1,1,6,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,13.57143,.6666667
"AL",2013,"innovativeschoolsnumber",0,0,0,0,"Round 2 - 2010",0,0,1,0,1,0,0,0,1,1,1,0,,1,,1,14,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,0,.6666667
"AL",2013,"standards_consortium",1,1,0,1,"Round 2 - 2010",1,1,1,0,1,0,0,0,1,1,1,0,,,1,1,19,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,100,.6666667
"AL",2013,"prepprogram",0,0,0,0,"Round 2 - 2010",1,0,1,0,1,0,0,0,1,1,1,0,,1,,1,18,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,52.85714,.6666667
"AL",2013,"evalsreward2",0,0,0,0,"Round 2 - 2010",0,0,1,0,1,0,0,0,1,1,1,0,,,1,1,8,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,13.57143,.6666667
"AL",2013,"evalsystem2",0,0,0,0,"Round 2 - 2010",1,0,1,0,1,0,0,0,1,1,1,0,,,1,1,11,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,30.66667,.6666667
"AL",2013,"annualevals",1,1,0,0,"Round 2 - 2010",1,0,1,0,1,0,0,0,1,1,1,0,,1,,1,1,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,22,.6666667
"AL",2013,"innovativeschoolsbuild",0,0,0,0,"Round 2 - 2010",0,0,1,0,1,0,0,0,1,1,1,0,,1,,1,13,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,0,.6666667
"AL",2013,"pathwaysroutes",0,0,0,0,"Round 2 - 2010",1,0,1,0,1,0,0,0,1,1,1,0,,1,,1,17,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,7.619048,.6666667
"AL",2013,"common_assessments",0,1,0,0,"Round 2 - 2010",1,1,1,0,1,0,0,0,1,1,1,0,,,1,1,2,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,92,.6666667
"AL",2013,"evalsfire",0,0,0,0,"Round 2 - 2010",0,0,1,0,1,0,0,0,1,1,1,0,,,1,1,5,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,13.57143,.6666667
"AL",2013,"evalsreward1",0,0,0,0,"Round 2 - 2010",0,0,1,0,1,0,0,0,1,1,1,0,,,1,1,7,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,13.57143,.6666667
"AL",2013,"standardsadopt",1,1,0,0,"Round 2 - 2010",1,0,1,0,1,0,0,0,1,1,1,0,,1,,1,20,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,21,.6666667
"AL",2013,"data8",1,1,1,1,"Round 2 - 2010",1,1,1,0,1,0,0,0,1,1,1,0,,,1,1,4,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,83.33334,.6666667
"AL",2014,"evalsystem1",0,0,0,0,"Round 2 - 2010",1,0,1,0,1,0,0,0,1,1,1,0,,,1,1,10,0,1,34.24,32.61538,60,22.66667,53.33333,35.33333,39,28,36.66667,52,33.6,61.71429,60.5,100,21,92,92,92,49,68.08511,83.33334,40,55.55556,53.33333,53.33333,60,28.11594,7.619048,14.28571,2.857143,5.714286,22.75862,52,30.66667,22,13.57143,23.2,16,34,52.85714,54.28571,51.42857,54,58,50,81.2,100,76.5,100,73.14286,26.54545,94,100,88,4.5,0,0,0,0,22.5,68,0,42.4,42.4,0,0,0,30.66667,.5
